blueCircle
blueCross
blueDiamond
blueDot
bluePlus
blueSquare
blueStar
blueTriangle
cyanCircle
cyanCross
cyanDiamond
cyanDot
cyanPlus
cyanSquare
cyanStar
cyanTriangle
greenCircle
greenCross
greenDiamond
greenDot
greenPlus
greenSquare
greenStar
greenTriangle
magentaCircle
magentaCross
magentaDiamond
magentaDot
magentaPlus
magentaSquare
magentaStar
magentaTriangle
redCircle
redCross
redDiamond
redDot
redPlus
redSquare
redStar
redTriangle
yellowCircle
yellowCross
yellowDiamond
yellowDot
yellowPlus
yellowSquare
yellowStar
yellowTriangle

